"","strt_statn","end_statn","cnt","strtLng","strtLat","endLng","endLat"
"5237",3,112,30,-71.100812,42.340021,-71.058087,42.355402
"5334",3,113,200,-71.100812,42.340021,-71.070884,42.36069
"5433",3,114,82,-71.100812,42.340021,-71.060515,42.365942
"5532",3,115,2,-71.100812,42.340021,-71.048927,42.378338
"5623",3,116,11,-71.100812,42.340021,-71.069849,42.356052
"5852",3,119,2,-71.100812,42.340021,-71.07655,42.350413
"5931",3,120,9,-71.100812,42.340021,-71.115645,42.309467
"5987",3,121,5,-71.100812,42.340021,-71.114175,42.31309
"6048",3,122,18,-71.100812,42.340021,-71.110833,42.320998
"6119",3,123,6,-71.100812,42.340021,-71.098634,42.315692
"6174",3,124,3,-71.100812,42.340021,-71.107341,42.310579
"6240",3,125,9,-71.100812,42.340021,-71.100164,42.322913
"6304",3,126,74,-71.100812,42.340021,-71.13493,42.339335
"6407",3,127,83,-71.100812,42.340021,-71.128374,42.346563
"6510",3,128,33,-71.100812,42.340021,-71.08497,42.362457
"6617",3,129,29,-71.100812,42.340021,-71.118201,42.369832
"6718",3,130,3,-71.100812,42.340021,-71.114025,42.376369
"6814",3,131,65,-71.100812,42.340021,-71.113687,42.356954
"6925",3,132,17,-71.100812,42.340021,-71.116865,42.377945
"7017",3,133,2,-71.100812,42.340021,-71.125107,42.380287
"7191",3,135,17,-71.100812,42.340021,-71.104412,42.370803
"7294",3,136,3,-71.100812,42.340021,-71.086388,42.366095
"7392",3,137,7,-71.100812,42.340021,-71.119084,42.387995
"7499",3,138,3,-71.100812,42.340021,-71.113341,42.385582
"7603",3,139,9,-71.100812,42.340021,-71.123024,42.396969
"7802",3,141,3,-71.100812,42.340021,-71.116772,42.400877
"3",4,4,610,-71.069616,42.345392,-71.069616,42.345392
"5",4,5,279,-71.069616,42.345392,-71.090179,42.341814
"8",4,6,469,-71.069616,42.345392,-71.06514,42.361285
"12",4,7,313,-71.069616,42.345392,-71.044624,42.353412
"17",4,8,28,-71.069616,42.345392,-71.137313,42.353334
"23",4,9,69,-71.069616,42.345392,-71.116174,42.351313
"30",4,10,121,-71.069616,42.345392,-71.105884,42.350075
"38",4,11,216,-71.069616,42.345392,-71.1065,42.338629
"47",4,12,563,-71.069616,42.345392,-71.088496,42.335911
"57",4,13,104,-71.069616,42.345392,-71.07403,42.334057
"68",4,14,276,-71.069616,42.345392,-71.102797,42.337171
"80",4,15,22,-71.069616,42.345392,-71.13802,42.361667
"93",4,16,832,-71.069616,42.345392,-71.076163,42.347433
"107",4,17,78,-71.069616,42.345392,-71.119581,42.365074
"122",4,18,23,-71.069616,42.345392,-71.129791,42.36337
"138",4,19,24,-71.069616,42.345392,-71.105828,42.347527
"155",4,20,452,-71.069616,42.345392,-71.051601,42.35977
"173",4,21,841,-71.069616,42.345392,-71.082578,42.345959
"192",4,22,2208,-71.069616,42.345392,-71.055547,42.352175
"212",4,23,390,-71.069616,42.345392,-71.059364,42.359677
"233",4,24,273,-71.069616,42.345392,-71.045461,42.351821
"255",4,25,947,-71.069616,42.345392,-71.076847,42.341332
"278",4,26,649,-71.069616,42.345392,-71.068922,42.341522
"302",4,27,204,-71.069616,42.345392,-71.094734,42.331567
"327",4,29,12,-71.069616,42.345392,-71.124565,42.363732
"353",4,30,135,-71.069616,42.345392,-71.105221,42.334073
"380",4,31,310,-71.069616,42.345392,-71.041747,42.348833
"408",4,32,230,-71.069616,42.345392,-71.102221,42.343912
"437",4,33,461,-71.069616,42.345392,-71.096831,42.349046
"467",4,34,60,-71.069616,42.345392,-71.099855,42.346171
"498",4,35,387,-71.069616,42.345392,-71.05896,42.354594
"530",4,36,1051,-71.069616,42.345392,-71.077303,42.349673
"563",4,37,1,-71.069616,42.345392,-71.146452,42.357247
"596",4,38,248,-71.069616,42.345392,-71.060868,42.366231
"631",4,39,1089,-71.069616,42.345392,-71.074182,42.338623
"667",4,40,290,-71.069616,42.345392,-71.050877,42.363871
"704",4,41,139,-71.069616,42.345392,-71.123831,42.352261
"742",4,42,817,-71.069616,42.345392,-71.070378,42.352096
"781",4,43,520,-71.069616,42.345392,-71.050699,42.357143
"821",4,44,345,-71.069616,42.345392,-71.056868,42.360583
"862",4,45,436,-71.069616,42.345392,-71.09788,42.344763
"904",4,46,681,-71.069616,42.345392,-71.085918,42.343864
"947",4,47,415,-71.069616,42.345392,-71.056067,42.362811
"991",4,48,1602,-71.069616,42.345392,-71.055407,42.356755
"1036",4,49,954,-71.069616,42.345392,-71.066289,42.351146
"1082",4,50,686,-71.069616,42.345392,-71.073644,42.350989
"1129",4,51,287,-71.069616,42.345392,-71.0790969,42.3348756
"1177",4,52,480,-71.069616,42.345392,-71.085954,42.348717
"1226",4,53,358,-71.069616,42.345392,-71.089886,42.350851
"1276",4,54,1716,-71.069616,42.345392,-71.063348,42.354979
"1327",4,55,380,-71.069616,42.345392,-71.088088,42.347265
"1379",4,56,23,-71.069616,42.345392,-71.0833545,42.3281898
"1432",4,57,796,-71.069616,42.345392,-71.081572,42.340799
"1486",4,58,864,-71.069616,42.345392,-71.07278,42.355596
"1541",4,59,1786,-71.069616,42.345392,-71.059367,42.351356
"1597",4,60,542,-71.069616,42.345392,-71.07131,42.360877
"1654",4,61,191,-71.069616,42.345392,-71.082674,42.348323
"1712",4,62,79,-71.069616,42.345392,-71.109927,42.340299
"1771",4,63,601,-71.069616,42.345392,-71.057054,42.344023
"1830",4,64,431,-71.069616,42.345392,-71.0496,42.3511
"1891",4,65,175,-71.069616,42.345392,-71.0441,42.3475
"1952",4,66,26,-71.069616,42.345392,-71.13401,42.348607
"2015",4,67,233,-71.069616,42.345392,-71.093198,42.3581
"2079",4,68,107,-71.069616,42.345392,-71.1031,42.36507
"2144",4,69,50,-71.069616,42.345392,-71.123338,42.341598
"2209",4,70,25,-71.069616,42.345392,-71.121851,42.372244
"2274",4,71,5,-71.069616,42.345392,-71.107593,42.383405
"2334",4,72,143,-71.069616,42.345392,-71.084105,42.362613
"2403",4,73,21,-71.069616,42.345392,-71.120886,42.373231
"2472",4,74,160,-71.069616,42.345392,-71.118579,42.373268
"2543",4,75,102,-71.069616,42.345392,-71.10042,42.363562
"2615",4,76,133,-71.069616,42.345392,-71.105495,42.366426
"2688",4,77,2,-71.069616,42.345392,-71.096413,42.386428
"2749",4,78,43,-71.069616,42.345392,-71.095319,42.379637
"2823",4,79,35,-71.069616,42.345392,-71.106541,42.378551
"2894",4,80,84,-71.069616,42.345392,-71.090188,42.362429
"2971",4,81,352,-71.069616,42.345392,-71.062679,42.352409
"3049",4,82,3,-71.069616,42.345392,-71.120526,42.333689
"3114",4,83,45,-71.069616,42.345392,-71.065928,42.325941
"3188",4,84,211,-71.069616,42.345392,-71.076472,42.366981
"3265",4,85,6,-71.069616,42.345392,-71.057007,42.330825
"3330",4,86,22,-71.069616,42.345392,-71.116205,42.332799
"3410",4,87,5,-71.069616,42.345392,-71.114214,42.366621
"3483",4,88,70,-71.069616,42.345392,-71.101427,42.374035
"3562",4,89,16,-71.069616,42.345392,-71.119945,42.379011
"3642",4,90,129,-71.069616,42.345392,-71.07711,42.3707
"3723",4,91,251,-71.069616,42.345392,-71.09169,42.366277
"3808",4,92,13,-71.069616,42.345392,-71.035705,42.311819
"3861",4,93,30,-71.069616,42.345392,-71.051122,42.320494
"3935",4,94,31,-71.069616,42.345392,-71.064608,42.375603
"4019",4,95,33,-71.069616,42.345392,-71.094445,42.372969
"4105",4,96,28,-71.069616,42.345392,-71.111075,42.373379
"4193",4,97,5,-71.069616,42.345392,-71.117152,42.369182
"4250",4,98,54,-71.069616,42.345392,-71.060292,42.371848
"4341",4,99,359,-71.069616,42.345392,-71.057629,42.35892
"4426",4,100,26,-71.069616,42.345392,-71.084198,42.328654
"4496",4,101,3,-71.069616,42.345392,-71.100694,42.345733
"4567",4,102,194,-71.069616,42.345392,-71.073089,42.336437
"4652",4,103,343,-71.069616,42.345392,-71.082383,42.348762
"4741",4,104,112,-71.069616,42.345392,-71.057044,42.330716
"4816",4,105,5,-71.069616,42.345392,-71.075354,42.325333
"4880",4,106,43,-71.069616,42.345392,-71.045859,42.335693
"4943",4,107,14,-71.069616,42.345392,-71.03877,42.335741
"5005",4,108,1,-71.069616,42.345392,-71.06198,42.320561
"5040",4,109,1,-71.069616,42.345392,-71.065421,42.317225
"5063",4,110,1,-71.069616,42.345392,-71.145442,42.356975
"5145",4,111,34,-71.069616,42.345392,-71.059914,42.366222
"5238",4,112,383,-71.069616,42.345392,-71.058087,42.355402
"5335",4,113,492,-71.069616,42.345392,-71.070884,42.36069
"5434",4,114,118,-71.069616,42.345392,-71.060515,42.365942
"5533",4,115,7,-71.069616,42.345392,-71.048927,42.378338
"5624",4,116,50,-71.069616,42.345392,-71.069849,42.356052
"5714",4,117,47,-71.069616,42.345392,-71.052984,42.358508
"5796",4,118,1,-71.069616,42.345392,-71.056605,42.377022
"5853",4,119,6,-71.069616,42.345392,-71.07655,42.350413
"5932",4,120,4,-71.069616,42.345392,-71.115645,42.309467
"5988",4,121,3,-71.069616,42.345392,-71.114175,42.31309
"6049",4,122,12,-71.069616,42.345392,-71.110833,42.320998
"6120",4,123,3,-71.069616,42.345392,-71.098634,42.315692
"6175",4,124,6,-71.069616,42.345392,-71.107341,42.310579
"6241",4,125,2,-71.069616,42.345392,-71.100164,42.322913
"6305",4,126,18,-71.069616,42.345392,-71.13493,42.339335
"6408",4,127,9,-71.069616,42.345392,-71.128374,42.346563
"6511",4,128,128,-71.069616,42.345392,-71.08497,42.362457
"6618",4,129,39,-71.069616,42.345392,-71.118201,42.369832
"6719",4,130,3,-71.069616,42.345392,-71.114025,42.376369
"6815",4,131,17,-71.069616,42.345392,-71.113687,42.356954
"7018",4,133,5,-71.069616,42.345392,-71.125107,42.380287
"7114",4,134,1,-71.069616,42.345392,-71.130516,42.397828
"7192",4,135,9,-71.069616,42.345392,-71.104412,42.370803
"7295",4,136,3,-71.069616,42.345392,-71.086388,42.366095
"7393",4,137,16,-71.069616,42.345392,-71.119084,42.387995
"7500",4,138,1,-71.069616,42.345392,-71.113341,42.385582
"7604",4,139,5,-71.069616,42.345392,-71.123024,42.396969
"7803",4,141,2,-71.069616,42.345392,-71.116772,42.400877
"7966",4,143,3,-71.069616,42.345392,-71.10942,42.39082
"8044",4,144,1,-71.069616,42.345392,-71.126908,42.402763
"6",5,5,661,-71.090179,42.341814,-71.090179,42.341814
"9",5,6,62,-71.090179,42.341814,-71.06514,42.361285
"13",5,7,10,-71.090179,42.341814,-71.044624,42.353412
"18",5,8,169,-71.090179,42.341814,-71.137313,42.353334
"24",5,9,215,-71.090179,42.341814,-71.116174,42.351313
"31",5,10,282,-71.090179,42.341814,-71.105884,42.350075
"39",5,11,208,-71.090179,42.341814,-71.1065,42.338629
"48",5,12,316,-71.090179,42.341814,-71.088496,42.335911
"58",5,13,43,-71.090179,42.341814,-71.07403,42.334057
"69",5,14,389,-71.090179,42.341814,-71.102797,42.337171
"81",5,15,44,-71.090179,42.341814,-71.13802,42.361667
"94",5,16,228,-71.090179,42.341814,-71.076163,42.347433
"108",5,17,54,-71.090179,42.341814,-71.119581,42.365074
"123",5,18,36,-71.090179,42.341814,-71.129791,42.36337
"139",5,19,144,-71.090179,42.341814,-71.105828,42.347527
"156",5,20,49,-71.090179,42.341814,-71.051601,42.35977
"174",5,21,887,-71.090179,42.341814,-71.082578,42.345959
"193",5,22,185,-71.090179,42.341814,-71.055547,42.352175
"213",5,23,56,-71.090179,42.341814,-71.059364,42.359677
"234",5,24,26,-71.090179,42.341814,-71.045461,42.351821
"256",5,25,119,-71.090179,42.341814,-71.076847,42.341332
"279",5,26,122,-71.090179,42.341814,-71.068922,42.341522
"303",5,27,243,-71.090179,42.341814,-71.094734,42.331567
"328",5,29,47,-71.090179,42.341814,-71.124565,42.363732
"354",5,30,883,-71.090179,42.341814,-71.105221,42.334073
"381",5,31,21,-71.090179,42.341814,-71.041747,42.348833
"409",5,32,1183,-71.090179,42.341814,-71.102221,42.343912
"438",5,33,559,-71.090179,42.341814,-71.096831,42.349046
"468",5,34,262,-71.090179,42.341814,-71.099855,42.346171
"499",5,35,34,-71.090179,42.341814,-71.05896,42.354594
"531",5,36,727,-71.090179,42.341814,-71.077303,42.349673
"564",5,37,10,-71.090179,42.341814,-71.146452,42.357247
"597",5,38,65,-71.090179,42.341814,-71.060868,42.366231
"632",5,39,131,-71.090179,42.341814,-71.074182,42.338623
"668",5,40,37,-71.090179,42.341814,-71.050877,42.363871
"705",5,41,342,-71.090179,42.341814,-71.123831,42.352261
"743",5,42,347,-71.090179,42.341814,-71.070378,42.352096
"782",5,43,32,-71.090179,42.341814,-71.050699,42.357143
"822",5,44,64,-71.090179,42.341814,-71.056868,42.360583
"863",5,45,1525,-71.090179,42.341814,-71.09788,42.344763
"905",5,46,621,-71.090179,42.341814,-71.085918,42.343864
"948",5,47,26,-71.090179,42.341814,-71.056067,42.362811
"992",5,48,35,-71.090179,42.341814,-71.055407,42.356755
"1037",5,49,224,-71.090179,42.341814,-71.066289,42.351146
"1083",5,50,188,-71.090179,42.341814,-71.073644,42.350989
"1130",5,51,113,-71.090179,42.341814,-71.0790969,42.3348756
"1178",5,52,594,-71.090179,42.341814,-71.085954,42.348717
"1227",5,53,784,-71.090179,42.341814,-71.089886,42.350851
"1277",5,54,193,-71.090179,42.341814,-71.063348,42.354979
"1328",5,55,1344,-71.090179,42.341814,-71.088088,42.347265
"1380",5,56,60,-71.090179,42.341814,-71.0833545,42.3281898
"1433",5,57,300,-71.090179,42.341814,-71.081572,42.340799
"1487",5,58,183,-71.090179,42.341814,-71.07278,42.355596
"1542",5,59,52,-71.090179,42.341814,-71.059367,42.351356
"1598",5,60,82,-71.090179,42.341814,-71.07131,42.360877
"1655",5,61,219,-71.090179,42.341814,-71.082674,42.348323
"1713",5,62,159,-71.090179,42.341814,-71.109927,42.340299
"1772",5,63,17,-71.090179,42.341814,-71.057054,42.344023
"1831",5,64,39,-71.090179,42.341814,-71.0496,42.3511
"1892",5,65,15,-71.090179,42.341814,-71.0441,42.3475
"1953",5,66,323,-71.090179,42.341814,-71.13401,42.348607
"2016",5,67,257,-71.090179,42.341814,-71.093198,42.3581
"2080",5,68,136,-71.090179,42.341814,-71.1031,42.36507
"2145",5,69,194,-71.090179,42.341814,-71.123338,42.341598
"2210",5,70,22,-71.090179,42.341814,-71.121851,42.372244
"2275",5,71,22,-71.090179,42.341814,-71.107593,42.383405
"2335",5,72,60,-71.090179,42.341814,-71.084105,42.362613
"2404",5,73,28,-71.090179,42.341814,-71.120886,42.373231
"2473",5,74,128,-71.090179,42.341814,-71.118579,42.373268
"2544",5,75,290,-71.090179,42.341814,-71.10042,42.363562
"2616",5,76,106,-71.090179,42.341814,-71.105495,42.366426
"2689",5,77,12,-71.090179,42.341814,-71.096413,42.386428
"2750",5,78,11,-71.090179,42.341814,-71.095319,42.379637
"2824",5,79,29,-71.090179,42.341814,-71.106541,42.378551
"2895",5,80,90,-71.090179,42.341814,-71.090188,42.362429
"2972",5,81,150,-71.090179,42.341814,-71.062679,42.352409
"3050",5,82,6,-71.090179,42.341814,-71.120526,42.333689
"3115",5,83,13,-71.090179,42.341814,-71.065928,42.325941
"3189",5,84,77,-71.090179,42.341814,-71.076472,42.366981
"3331",5,86,348,-71.090179,42.341814,-71.116205,42.332799
"3411",5,87,18,-71.090179,42.341814,-71.114214,42.366621
"3484",5,88,73,-71.090179,42.341814,-71.101427,42.374035
"3563",5,89,18,-71.090179,42.341814,-71.119945,42.379011
"3643",5,90,39,-71.090179,42.341814,-71.07711,42.3707
"3724",5,91,54,-71.090179,42.341814,-71.09169,42.366277
"3862",5,93,14,-71.090179,42.341814,-71.051122,42.320494
"3936",5,94,5,-71.090179,42.341814,-71.064608,42.375603
"4020",5,95,182,-71.090179,42.341814,-71.094445,42.372969
"4106",5,96,29,-71.090179,42.341814,-71.111075,42.373379
"4251",5,98,52,-71.090179,42.341814,-71.060292,42.371848
"4342",5,99,56,-71.090179,42.341814,-71.057629,42.35892
"4427",5,100,8,-71.090179,42.341814,-71.084198,42.328654
"4497",5,101,20,-71.090179,42.341814,-71.100694,42.345733
"4568",5,102,73,-71.090179,42.341814,-71.073089,42.336437
"4653",5,103,237,-71.090179,42.341814,-71.082383,42.348762
"4742",5,104,5,-71.090179,42.341814,-71.057044,42.330716
"4817",5,105,2,-71.090179,42.341814,-71.075354,42.325333
"4881",5,106,6,-71.090179,42.341814,-71.045859,42.335693
"4944",5,107,1,-71.090179,42.341814,-71.03877,42.335741
"5064",5,110,9,-71.090179,42.341814,-71.145442,42.356975
"5146",5,111,37,-71.090179,42.341814,-71.059914,42.366222
"5239",5,112,61,-71.090179,42.341814,-71.058087,42.355402
"5336",5,113,159,-71.090179,42.341814,-71.070884,42.36069
"5435",5,114,51,-71.090179,42.341814,-71.060515,42.365942
"5534",5,115,3,-71.090179,42.341814,-71.048927,42.378338
"5625",5,116,3,-71.090179,42.341814,-71.069849,42.356052
"5715",5,117,1,-71.090179,42.341814,-71.052984,42.358508
"5854",5,119,1,-71.090179,42.341814,-71.07655,42.350413
"5933",5,120,4,-71.090179,42.341814,-71.115645,42.309467
"5989",5,121,3,-71.090179,42.341814,-71.114175,42.31309
"6050",5,122,5,-71.090179,42.341814,-71.110833,42.320998
"6121",5,123,2,-71.090179,42.341814,-71.098634,42.315692
"6176",5,124,3,-71.090179,42.341814,-71.107341,42.310579
"6242",5,125,4,-71.090179,42.341814,-71.100164,42.322913
"6306",5,126,111,-71.090179,42.341814,-71.13493,42.339335
"6409",5,127,90,-71.090179,42.341814,-71.128374,42.346563
"6512",5,128,77,-71.090179,42.341814,-71.08497,42.362457
"6619",5,129,17,-71.090179,42.341814,-71.118201,42.369832
"6720",5,130,64,-71.090179,42.341814,-71.114025,42.376369
"6816",5,131,59,-71.090179,42.341814,-71.113687,42.356954
"6926",5,132,26,-71.090179,42.341814,-71.116865,42.377945
"7019",5,133,82,-71.090179,42.341814,-71.125107,42.380287
"7115",5,134,1,-71.090179,42.341814,-71.130516,42.397828
"7193",5,135,20,-71.090179,42.341814,-71.104412,42.370803
"7296",5,136,2,-71.090179,42.341814,-71.086388,42.366095
"7394",5,137,7,-71.090179,42.341814,-71.119084,42.387995
"7501",5,138,3,-71.090179,42.341814,-71.113341,42.385582
"7605",5,139,23,-71.090179,42.341814,-71.123024,42.396969
"7711",5,140,4,-71.090179,42.341814,-71.112708,42.400146
"7804",5,141,2,-71.090179,42.341814,-71.116772,42.400877
"7896",5,142,13,-71.090179,42.341814,-71.123413,42.40449
"7967",5,143,2,-71.090179,42.341814,-71.10942,42.39082
"8045",5,144,4,-71.090179,42.341814,-71.126908,42.402763
"10",6,6,935,-71.06514,42.361285,-71.06514,42.361285
"14",6,7,218,-71.06514,42.361285,-71.044624,42.353412
"19",6,8,65,-71.06514,42.361285,-71.137313,42.353334
"25",6,9,282,-71.06514,42.361285,-71.116174,42.351313
"32",6,10,244,-71.06514,42.361285,-71.105884,42.350075
"40",6,11,483,-71.06514,42.361285,-71.1065,42.338629
"49",6,12,32,-71.06514,42.361285,-71.088496,42.335911
"59",6,13,20,-71.06514,42.361285,-71.07403,42.334057
"70",6,14,352,-71.06514,42.361285,-71.102797,42.337171
"82",6,15,118,-71.06514,42.361285,-71.13802,42.361667
"95",6,16,697,-71.06514,42.361285,-71.076163,42.347433
"109",6,17,123,-71.06514,42.361285,-71.119581,42.365074
"124",6,18,144,-71.06514,42.361285,-71.129791,42.36337
"140",6,19,102,-71.06514,42.361285,-71.105828,42.347527
"157",6,20,1071,-71.06514,42.361285,-71.051601,42.35977
"175",6,21,355,-71.06514,42.361285,-71.082578,42.345959
"194",6,22,1930,-71.06514,42.361285,-71.055547,42.352175
"214",6,23,1080,-71.06514,42.361285,-71.059364,42.359677
"235",6,24,601,-71.06514,42.361285,-71.045461,42.351821
"257",6,25,171,-71.06514,42.361285,-71.076847,42.341332
"280",6,26,256,-71.06514,42.361285,-71.068922,42.341522
"304",6,27,54,-71.06514,42.361285,-71.094734,42.331567
"329",6,29,61,-71.06514,42.361285,-71.124565,42.363732
"355",6,30,76,-71.06514,42.361285,-71.105221,42.334073
"382",6,31,357,-71.06514,42.361285,-71.041747,42.348833
"410",6,32,206,-71.06514,42.361285,-71.102221,42.343912
"439",6,33,725,-71.06514,42.361285,-71.096831,42.349046
"469",6,34,112,-71.06514,42.361285,-71.099855,42.346171
"500",6,35,476,-71.06514,42.361285,-71.05896,42.354594
"532",6,36,1151,-71.06514,42.361285,-71.077303,42.349673
"565",6,37,7,-71.06514,42.361285,-71.146452,42.357247
"598",6,38,905,-71.06514,42.361285,-71.060868,42.366231
"633",6,39,267,-71.06514,42.361285,-71.074182,42.338623
"669",6,40,1108,-71.06514,42.361285,-71.050877,42.363871
"706",6,41,123,-71.06514,42.361285,-71.123831,42.352261
"744",6,42,1199,-71.06514,42.361285,-71.070378,42.352096
"783",6,43,1512,-71.06514,42.361285,-71.050699,42.357143
"823",6,44,1023,-71.06514,42.361285,-71.056868,42.360583
"864",6,45,205,-71.06514,42.361285,-71.09788,42.344763
